SKU,Name,Description,Brand,Price,Location,StyleCode,
"BB-7421","LL Bottom Bracket","Chromoly steel.","ACME Corporation",53.99,"Subassembly","BB-7421",
"BB-8107","ML Bottom Bracket","Aluminum alloy cups; large diameter spindle.","ACME Corporation",101.24,"Subassembly","BB-8107",
"BB-9108","HL Bottom Bracket","Aluminum alloy cups and a hollow axle.","ACME Corporation",97.19,"Subassembly","BB-9108",
"BE-2349","BB Ball Bearing","","ACME Corporation",1.99,"Subassembly","BE-2349",
"BK-M18B-40","Mountain-500 Black, 40","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","ACME Corporation",539.99,"Finished Goods Storage","BK-M18B",
"BK-M18B-42","Mountain-500 Black, 42","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","ACME Corporation",539.99,"Finished Goods Storage","BK-M18B",
"BK-M18B-44","Mountain-500 Black, 44","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","ACME Corporation",539.99,"Finished Goods Storage","BK-M18B",
"BK-M18B-48","Mountain-500 Black, 48","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","ACME Corporation",539.99,"Finished Goods Storage","BK-M18B",
"BK-M18B-52","Mountain-500 Black, 52","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","ACME Corporation",539.99,"Finished Goods Storage","BK-M18B",
"BK-M18S-40","Mountain-500 Silver, 40","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","ACME Corporation",564.99,"Finished Goods Storage","BK-M18S",
"BK-M18S-42","Mountain-500 Silver, 42","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","ACME Corporation",564.99,"Finished Goods Storage","BK-M18S",
"BK-M18S-44","Mountain-500 Silver, 44","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","ACME Corporation",564.99,"Finished Goods Storage","BK-M18S",
"BK-M18S-48","Mountain-500 Silver, 48","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","ACME Corporation",564.99,"Finished Goods Storage","BK-M18S",
"BK-M18S-52","Mountain-500 Silver, 52","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","ACME Corporation",564.99,"Finished Goods Storage","BK-M18S",
"BK-M38S-38","Mountain-400-W Silver, 38","This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.","ACME Corporation",769.49,"Finished Goods Storage","BK-M38S",
"BK-M38S-40","Mountain-400-W Silver, 40","This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.","ACME Corporation",769.49,"Finished Goods Storage","BK-M38S",
"BK-M38S-42","Mountain-400-W Silver, 42","This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.","ACME Corporation",769.49,"Finished Goods Storage","BK-M38S",
"BK-M38S-46","Mountain-400-W Silver, 46","This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.","ACME Corporation",769.49,"Finished Goods Storage","BK-M38S",
"BK-M47B-38","Mountain-300 Black, 38","For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.","ACME Corporation",863.99,"Finished Goods Storage","BK-M47B",
"BK-M47B-40","Mountain-300 Black, 40","For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.","ACME Corporation",1079.99,"Finished Goods Storage","BK-M47B",
"BK-M47B-44","Mountain-300 Black, 44","For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.","ACME Corporation",1079.99,"Finished Goods Storage","BK-M47B",
"BK-M47B-48","Mountain-300 Black, 48","For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.","ACME Corporation",1079.99,"Finished Goods Storage","BK-M47B",
"BK-M68B-38","Mountain-200 Black, 38","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","ACME Corporation",1835.99,"Finished Goods Storage","BK-M68B",
"BK-M68B-42","Mountain-200 Black, 42","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","ACME Corporation",2294.99,"Finished Goods Storage","BK-M68B",
"BK-M68B-46","Mountain-200 Black, 46","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","ACME Corporation",2294.99,"Finished Goods Storage","BK-M68B",
"BK-M68S-38","Mountain-200 Silver, 38","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","ACME Corporation",2319.99,"Finished Goods Storage","BK-M68S",
"BK-M68S-42","Mountain-200 Silver, 42","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","ACME Corporation",1855.99,"Finished Goods Storage","BK-M68S",
"BK-M68S-46","Mountain-200 Silver, 46","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","ACME Corporation",2319.99,"Finished Goods Storage","BK-M68S",
"BK-M82B-38","Mountain-100 Black, 38","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","ACME Corporation",3374.99,"Finished Goods Storage","BK-M82B",
